,HCO3,pH,TDS,Ca,Mg,Precipitation
0,436.15,7.97,362.95,0.6,0.24,0
1,436.15,7.72,365.35,0.81,0.24,0
2,427.0,7.87,361.65,0.6,0.24,0
3,431.58,7.84,365.95,0.81,0.48,0
4,446.83,7.6,375.4,1.01,0.48,0
5,439.2,7.86,372.3,0.81,0.48,0
6,433.1,7.69,369.1,1.6,0.6,0
7,445.3,7.77,375.55,1.21,0.48,1
8,451.4,7.81,377.15,1.0,0.48,1
9,445.3,7.89,375.5,0.8,0.36,1
10,445.3,7.85,377.2,0.8,0.4,1
11,451.4,7.74,379.9,0.5,0.3,0
12,451.4,7.78,377.8,1.0,0.48,0
13,451.4,7.86,379.65,0.8,0.36,0
14,445.3,7.92,375.85,0.9,0.3,0
15,439.2,7.85,367.9,1.1,0.54,0
16,448.35,7.81,370.35,1.2,0.6,0
17,446.83,7.82,378.2,1.0,0.48,0
18,445.3,7.92,374.0,1.2,0.6,0
19,446.83,7.91,374.35,1.0,0.48,0
20,437.68,7.91,369.55,0.8,0.54,0
21,451.4,7.59,373.4,1.6,0.6,0
22,449.88,7.85,379.45,0.9,0.42,0
23,445.3,7.76,374.3,1.0,0.48,1
24,451.4,7.82,375.0,0.8,0.36,1
25,439.2,7.83,370.65,0.8,0.24,1
26,451.4,7.78,377.3,1.3,0.42,0
27,439.2,7.8,371.4,1.3,0.42,0
28,445.3,7.86,378.45,0.6,0.36,0
29,439.2,7.62,370.0,1.2,0.48,0
30,446.83,7.88,375.3,1.0,0.36,0
31,436.15,7.84,370.9,1.0,0.48,0
32,436.15,7.56,378.95,0.8,0.48,0
33,436.15,7.76,370.35,1.2,0.6,0
34,445.3,7.64,372.3,0.6,0.36,0
35,445.3,7.62,372.65,0.8,0.36,0
36,448.35,7.75,374.1,0.6,0.36,0
37,439.2,7.75,369.7,1.4,0.9,0
38,445.3,7.59,373.3,0.8,0.36,0
39,446.83,7.82,377.1,1.0,0.54,0
40,434.63,7.71,368.4,1.2,0.54,0
41,448.35,7.69,375.3,1.0,0.42,1
42,443.78,7.63,373.55,1.0,0.42,0
43,445.3,7.99,375.4,0.8,0.48,0
44,433.1,7.66,367.75,0.8,0.42,0
45,439.2,7.95,379.25,1.0,0.48,0
46,452.93,7.88,381.15,0.99,0.48,0
47,459.03,7.78,381.5,1.39,0.71,1
48,440.73,7.66,368.45,0.6,0.48,1
49,439.2,7.77,371.6,1.3,0.78,1
50,449.88,7.94,383.5,1.0,0.42,1
51,446.83,7.77,378.2,1.2,0.48,0
52,433.1,7.99,373.45,0.4,0.18,0
53,443.78,7.8,373.6,1.4,0.96,0
54,448.35,7.76,377.2,1.2,0.6,0
55,436.15,7.49,373.95,1.2,0.36,1
56,430.05,7.75,365.9,1.0,0.36,0
57,445.3,7.83,375.1,1.0,0.6,0
