MFD,Ratio,HCO3,Ca,Mg,TDS,pH,Precipitation
5-Jan-22,1.76,436.15,0.6,0.24,362.95,7.97,0
6-Jan-22,1.94,436.15,0.81,0.24,365.35,7.72,0
7-Jan-22,1.7,427,0.6,0.24,361.65,7.87,0
8-Jan-22,0.85,431.58,0.81,0.48,365.95,7.84,0
10-Jan-22,0,446.83,1.01,0.48,375.4,7.6,0
11-Jan-22,0.86,439.2,0.81,0.48,372.3,7.86,0
12-Jan-22,3.29,433.1,1.6,0.6,369.1,7.69,0
13-Jan-22,1.33,445.3,1.21,0.48,375.55,7.77,1
15-Jan-22,1.33,451.4,1,0.48,377.15,7.81,1
21-Jan-22,1.95,445.3,0.8,0.36,375.5,7.89,1
22-Jan-22,1.99,445.3,0.8,0.4,377.2,7.85,1
26-Jan-22,1.11,451.4,0.5,0.3,379.9,7.74,0
27-Jan-22,1.62,451.4,1,0.48,377.8,7.78,0
28-Jan-22,1.73,442.25,1.6,1.2,369.6,7.65,0
8-Feb-22,1.31,443.78,1.8,1.08,369.3,7.94,0
9-Feb-22,2.44,451.4,0.8,0.36,379.65,7.86,0
10-Feb-22,2.1,445.3,0.9,0.3,375.85,7.92,0
11-Feb-22,1.4,439.2,1.1,0.54,367.9,7.85,0
12-Feb-22,1.78,448.35,1.2,0.6,370.35,7.81,0
15-Feb-22,1.69,446.83,1,0.48,378.2,7.82,0
16-Feb-22,1.35,445.3,1.2,0.6,374,7.92,0
17-Feb-22,1.15,446.83,1,0.48,374.35,7.91,0
18-Feb-22,1.53,437.68,0.8,0.54,369.55,7.91,0
19-Feb-22,1.3,451.4,1.6,0.6,373.4,7.59,0
21-Feb-22,1.5,449.88,0.9,0.42,379.45,7.85,0
22-Feb-22,1.93,445.3,1,0.48,374.3,7.76,1
23-Feb-22,1.93,451.4,0.8,0.36,375,7.82,1
25-Feb-22,2.03,439.2,0.8,0.24,370.65,7.83,1
26-Feb-22,1.78,451.4,1.3,0.42,377.3,7.78,0
28-Feb-22,0,439.2,1.3,0.42,371.4,7.8,0
1-Mar-22,2.6,445.3,0.6,0.36,378.45,7.86,0
4-Mar-22,2.06,439.2,1.2,0.48,370,7.62,0
8-Mar-22,1.99,446.83,1,0.36,375.3,7.88,0
9-Mar-22,2.3,436.15,1,0.48,370.9,7.84,0
10-Mar-22,1.72,436.15,0.8,0.48,378.95,7.56,0
11-Mar-22,2,436.15,1.2,0.6,370.35,7.76,0
12-Mar-22,1.61,445.3,2,1.44,373.3,7.77,0
15-Mar-22,1.29,445.3,0.6,0.36,372.3,7.64,0
16-Mar-22,2.33,445.3,0.8,0.36,372.65,7.62,0
17-Mar-22,1.7,448.35,0.6,0.36,374.1,7.75,0
18-Mar-22,1.84,439.2,1.4,0.9,369.7,7.75,0
19-Mar-22,1.91,445.3,0.8,0.36,373.3,7.59,0
22-Mar-22,1.26,446.83,1,0.54,377.1,7.82,0
23-Mar-22,1.24,434.63,1.2,0.54,368.4,7.71,0
24-Mar-22,1.89,448.35,1,0.42,375.3,7.69,1
25-Mar-22,1.63,443.78,1,0.42,373.55,7.63,0
28-Mar-22,1.91,445.3,0.8,0.48,375.4,7.99,0
29-Mar-22,1.17,433.1,0.8,0.42,367.75,7.66,0
30-Mar-22,1.2,439.2,1,0.48,379.25,7.95,0
4-Apr-22,2.3,452.93,0.99,0.48,381.15,7.88,0
5-Apr-22,2.54,459.03,1.39,0.71,381.5,7.78,1
6-Apr-22,1.73,440.73,0.6,0.48,368.45,7.66,1
7-Apr-22,1.65,439.2,1.3,0.78,371.6,7.77,1
8-Apr-22,2.17,449.88,1,0.42,383.5,7.94,1
9-Apr-22,1.87,446.83,1.2,0.48,378.2,7.77,0
25-Apr-22,1.97,433.1,0.4,0.18,373.45,7.99,0
29-Apr-22,0,443.78,1.4,0.96,373.6,7.8,0
4-May-22,1.3,448.35,1.2,0.6,377.2,7.76,0
5-May-22,1.96,436.15,1.2,0.36,373.95,7.49,1
6-May-22,1.92,430.05,1,0.36,365.9,7.75,0
7-May-22,1.96,445.3,1,0.6,375.1,7.83,0
9-May-22,1.71,451.4,1,0.6,375.45,7.94,0
10-May-22,1.28,444.79,1.3,0.54,381.65,7.56,1
13-May-22,1.17,445.3,1.6,0.84,376.25,7.77,0
14-May-22,0,449.88,0.8,0.42,375.7,7.61,0
16-May-22,1.5,449.88,0.6,0.48,377.6,7.82,0
17-May-22,1.73,442.25,1,0.6,369,7.62,0
18-May-22,2.35,446.83,1,0.6,375.8,7.6,0
19-May-22,3.06,442.25,1.4,0.84,371.3,7.61,1
21-May-22,0,455.98,1,0.48,377.55,7.71,1
23-May-22,1.43,448.35,0.9,0.42,378.5,7.86,0
26-May-22,2.24,454.45,0.9,0.54,382.2,7.74,0
27-May-22,1.51,454.45,0.9,0.42,376.35,7.7,0
28-May-22,1.69,443.78,1,0.36,373.4,7.63,0
30-May-22,0,451.4,1.2,0.48,379.1,7.94,1
31-May-22,1.56,430.05,1.4,0.72,367.4,7.73,0
2-Jun-22,1.77,449.88,1,0.48,379.65,7.77,0
4-Jun-22,2.65,442.25,1.2,0.48,374.2,7.57,0
8-Jun-22,4.17,448.35,1,0.36,377.75,7.94,0
10-Jun-22,13.63,443.78,0.7,0.3,373.4,7.69,1
11-Jun-22,12.9,443.78,0.6,0.36,372.5,7.62,0
13-Jun-22,0,431.58,0.8,0.6,365.2,7.89,0
14-Jun-22,5.22,439.2,1,0.48,372.1,7.88,1
15-Jun-22,8.04,446.83,0.8,0.48,375,7.68,0
16-Jun-22,1.69,442.25,0.8,0.36,372.55,7.7,1
17-Jun-22,7.62,440.73,0.6,0.36,373.1,7.84,0
20-Jun-22,5.23,439.2,0.6,0.48,372.5,7.89,0
22-Jun-22,7.45,445.3,1.2,0.6,369.9,7.79,1
23-Jun-22,6.96,446.83,2.29,1.43,370.55,7.73,1
24-Jun-22,4.6,449.88,1,0.48,376.4,7.69,0
25-Jun-22,20.83,433.1,0.8,0.36,369.55,7.7,0
27-Jun-22,0.35,436.15,0.6,0.48,366.9,7.81,1
28-Jun-22,7.02,448.35,1.4,0.84,373,7.93,0
29-Jun-22,5.69,436.15,0.6,0.36,365.8,7.84,0
30-Jun-22,7.67,448.35,0.8,0.48,375.2,7.89,0
1-Jul-22,4.01,443.78,0.6,0.36,372.2,7.86,1
2-Jul-22,0,437.68,0.8,0.54,365.55,7.77,0
4-Jul-22,5.34,451.4,1.3,0.78,381.6,8,1
5-Jul-22,3.18,442.25,1,0.48,373.4,7.9,0
6-Jul-22,5.44,442.25,1.2,0.48,372.4,7.79,0
